split,method,case_name,file_name,cycle_name,sample_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent
test,CC sensitivity,ideal_capacity_2p9_soc0_100,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8267,0.09770344765651587,0.11569058652840934,0.24443710852564493,0.20114794027107052,0.2169342394002621,-0.1994185782161395
test,CC sensitivity,low_capacity_2p8_soc0_100,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8267,1.5333110533085552,1.7894768827642362,3.0832213582469734,3.0478664296168887,3.0637081579798746,-3.0637081579798746
test,CC sensitivity,high_capacity_3p0_soc0_100,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8267,1.242209115298438,1.4475231550695704,2.4739183628972796,2.4413079568855367,2.4739183628972796,2.4739183628972796
test,CC sensitivity,capacity_2p9_soc0_95,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8267,5.097703447656516,5.098079911925317,5.244437108525645,5.2011479402710705,5.2169342394002625,-5.1994185782161395
test,CC sensitivity,capacity_2p9_soc0_90,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8267,10.097703447656517,10.097893506318117,10.244437108525645,10.20114794027107,10.216934239400262,-10.19941857821614
test,CC sensitivity,low_capacity_2p8_soc0_95,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8267,6.533311053308556,6.5981314057112534,8.083221358246973,8.047866429616889,8.063708157979875,-8.063708157979875
test,CC sensitivity,high_capacity_3p0_soc0_95,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8267,3.7578030157144866,3.8305813451234045,5.0018966558504445,4.899724064338785,4.998712894054784,-2.5260816371027204
test,CC sensitivity,low_capacity_2p8_soc0_90,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8267,11.533311053308553,11.570153351624977,13.083221358246973,13.047866429616889,13.063708157979875,-13.063708157979875
test,CC sensitivity,high_capacity_3p0_soc0_90,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8267,8.757803015714487,8.789276625454013,10.001896655850445,9.899724064338786,9.998712894054783,-7.52608163710272
test,CC sensitivity,ideal_capacity_2p9_soc0_100,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6328,0.09754714952817067,0.1105230912930029,0.2537109844870713,0.17171839331362868,0.20481573370060016,0.06747133975633801
test,CC sensitivity,low_capacity_2p8_soc0_100,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6328,1.5653008805015893,1.7902024575240376,2.812392656602597,2.7824031563738614,2.7872864572229332,-2.7872864572229332
test,CC sensitivity,high_capacity_3p0_soc0_100,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6328,1.2945769343958389,1.5201621965921797,2.7319119502705576,2.699880783561306,2.7319119502705576,2.7319119502705576
test,CC sensitivity,capacity_2p9_soc0_95,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6328,5.086058285601687,5.086531058562979,5.253710984487071,5.171718393313629,5.2048157337006,-4.932528660243662
test,CC sensitivity,capacity_2p9_soc0_90,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6328,10.086058285601686,10.086296697288985,10.253710984487071,10.171718393313629,10.2048157337006,-9.932528660243662
test,CC sensitivity,low_capacity_2p8_soc0_95,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6328,6.565300880501589,6.6225247182582105,7.812392656602597,7.782403156373862,7.787286457222933,-7.787286457222933
test,CC sensitivity,high_capacity_3p0_soc0_95,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6328,3.7054318636950483,3.790146664826896,5.004862113486439,4.839599122693491,4.984526868204071,-2.2680880497294424
test,CC sensitivity,low_capacity_2p8_soc0_90,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6328,11.56530088050159,11.597880946490049,12.812392656602597,12.782403156373862,12.787286457222933,-12.787286457222933
test,CC sensitivity,high_capacity_3p0_soc0_90,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6328,8.705431863695049,8.741826489804572,10.004862113486439,9.83959912269349,9.984526868204071,-7.2680880497294424
test,CC sensitivity,ideal_capacity_2p9_soc0_100,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12853,0.02918456252913259,0.0345348193993044,0.09725299429472045,0.05896086278732468,0.08191740868650754,-0.08191740868650754
test,CC sensitivity,low_capacity_2p8_soc0_100,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12853,1.420493521913345,1.6655804019116633,2.9421090402770034,2.8030697014688797,2.9421090402770034,-2.9421090402770034
test,CC sensitivity,high_capacity_3p0_soc0_100,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12853,1.3360544921140511,1.5327834486555534,2.5963571109588344,2.5346720517548817,2.587594780798895,2.587594780798895
test,CC sensitivity,capacity_2p9_soc0_95,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12853,4.994695609685021,4.994812183716336,5.0972529942947205,5.048878428908234,5.0819174086865075,-5.0819174086865075
test,CC sensitivity,capacity_2p9_soc0_90,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12853,9.994695609685019,9.994753866276616,10.09725299429472,10.048878428908234,10.081917408686508,-10.081917408686508
test,CC sensitivity,low_capacity_2p8_soc0_95,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12853,6.4204898787834805,6.479124698836026,7.942109040277003,7.80306970146888,7.942109040277003,-7.942109040277003
test,CC sensitivity,high_capacity_3p0_soc0_95,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12853,3.663954291859628,3.740182885778273,5.0108008887230255,4.812093553504155,4.977005130827488,-2.412405219201105
test,CC sensitivity,low_capacity_2p8_soc0_90,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12853,11.420489878783481,11.453556462990079,12.942109040277003,12.80306970146888,12.942109040277003,-12.942109040277003
test,CC sensitivity,high_capacity_3p0_soc0_90,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12853,8.663954291859628,8.696465427842796,10.010800888723026,9.812093553504155,9.977005130827488,-7.412405219201105
test_average,CC sensitivity,capacity_2p9_soc0_90,AVERAGE_TEST_CYCLES,test_average,27448,10.059485780981074,10.059648023294573,10.19846702910248,10.140581587497644,10.167889127262457,-10.071288215715436
test_average,CC sensitivity,capacity_2p9_soc0_95,AVERAGE_TEST_CYCLES,test_average,27448,5.059485780981075,5.05980771806821,5.198467029102479,5.140581587497644,5.167889127262456,-5.071288215715437
test_average,CC sensitivity,high_capacity_3p0_soc0_100,AVERAGE_TEST_CYCLES,test_average,27448,1.2909468472694428,1.5001562667724346,2.6007291413755573,2.5586202640672417,2.5978083646555774,2.5978083646555774
test_average,CC sensitivity,high_capacity_3p0_soc0_90,AVERAGE_TEST_CYCLES,test_average,27448,8.709063057089722,8.74252284770046,10.005853219353304,9.850472246845477,9.986748297695447,-7.402191635344423
test_average,CC sensitivity,high_capacity_3p0_soc0_95,AVERAGE_TEST_CYCLES,test_average,27448,3.7090630570897205,3.786970298576191,5.005853219353303,4.850472246845477,4.986748297695448,-2.4021916353444226
test_average,CC sensitivity,ideal_capacity_2p9_soc0_100,AVERAGE_TEST_CYCLES,test_average,27448,0.07481171990460637,0.08691616574023887,0.1984670291024789,0.14394239879067464,0.1678891272624566,-0.07128821571543635
test_average,CC sensitivity,low_capacity_2p8_soc0_100,AVERAGE_TEST_CYCLES,test_average,27448,1.5063684852411632,1.7484199140666457,2.9459076850421915,2.8777797624865435,2.931034551826604,-2.931034551826604
test_average,CC sensitivity,low_capacity_2p8_soc0_90,AVERAGE_TEST_CYCLES,test_average,27448,11.506367270864542,11.540530253701702,12.945907685042192,12.877779762486545,12.931034551826604,-12.931034551826604
test_average,CC sensitivity,low_capacity_2p8_soc0_95,AVERAGE_TEST_CYCLES,test_average,27448,6.5063672708645415,6.56659360760183,7.945907685042191,7.8777797624865435,7.931034551826603,-7.931034551826603
